OGR_FID,studentID,courseID,courseName,year,semester,unit,fieldID,entranceYear,takenTime,recomTime,startTime(G),startTime,date
121922,0aa6c3d112ea3f79715c81a2ee1ace0e,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
121923,0aa6c3d112ea3f79715c81a2ee1ace0e,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
121925,0aa6c3d112ea3f79715c81a2ee1ace0e,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
121933,5985d09743cce01f2221375b0b640809,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
121991,ccad27745c4b7f64f485e71fb85e910d,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
121993,ccad27745c4b7f64f485e71fb85e910d,401,????? - 1,1396,1,3,COM-HARD,1392,51,11,9/22/2016,1395/07/01,1-May
121995,ccad27745c4b7f64f485e71fb85e910d,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122128,1deb5895ec255ee89ba722b44923a7b6,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122129,1deb5895ec255ee89ba722b44923a7b6,23151157,???? ??? ?????????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
122130,1deb5895ec255ee89ba722b44923a7b6,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
122131,1deb5895ec255ee89ba722b44923a7b6,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122133,1deb5895ec255ee89ba722b44923a7b6,23111106,????????? ?????????1,1396,1,1,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122136,1deb5895ec255ee89ba722b44923a7b6,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
122137,1deb5895ec255ee89ba722b44923a7b6,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122139,1deb5895ec255ee89ba722b44923a7b6,23152025,?????  ?????  ???,1396,2,3,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
122164,e0608dd651fcdf142f9d1fdd04dcb97c,23105057,?????????????  ??????,1396,1,3,COM-HARD,1392,51,21,9/22/2016,1395/07/01,1-May
122165,e0608dd651fcdf142f9d1fdd04dcb97c,23151088,???? ????? ????? ???? ? ???,1396,1,2,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122166,e0608dd651fcdf142f9d1fdd04dcb97c,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122167,e0608dd651fcdf142f9d1fdd04dcb97c,23151168,????? ??????????,1396,1,3,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122168,e0608dd651fcdf142f9d1fdd04dcb97c,23151180,????? ?????? ? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122169,e0608dd651fcdf142f9d1fdd04dcb97c,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122172,e0608dd651fcdf142f9d1fdd04dcb97c,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122176,e0608dd651fcdf142f9d1fdd04dcb97c,23151259,??? ?????? ?????? ??? ????,1396,2,3,COM-HARD,1392,52,41,1/21/2018,1396/11/01,2-May
122180,e0608dd651fcdf142f9d1fdd04dcb97c,402,????? - 2,1396,2,4,COM-HARD,1392,52,12,1/21/2018,1396/11/01,2-May
122240,1882c60e30e77b4e212e848bab5b664b,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
122243,1882c60e30e77b4e212e848bab5b664b,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122308,f029af85b60c61676d47a4a8403b1512,23105057,?????????????  ??????,1396,1,3,COM-HARD,1392,51,21,9/22/2016,1395/07/01,1-May
122309,f029af85b60c61676d47a4a8403b1512,23151237,????? ????????? ????? ??? ????????,1396,1,3,COM-HARD,1392,51,22,9/22/2016,1395/07/01,1-May
122310,f029af85b60c61676d47a4a8403b1512,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122311,f029af85b60c61676d47a4a8403b1512,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
122315,f029af85b60c61676d47a4a8403b1512,23151146,??????? ??????????,1396,2,3,COM-HARD,1392,52,22,1/21/2018,1396/11/01,2-May
122316,f029af85b60c61676d47a4a8403b1512,23151248,??????????? ????? ??????,1396,2,3,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
122317,f029af85b60c61676d47a4a8403b1512,23152025,?????  ?????  ???,1396,2,3,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
122319,f029af85b60c61676d47a4a8403b1512,23111106,????????? ?????????1,1396,2,1,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
122320,f029af85b60c61676d47a4a8403b1512,23112096,????????? ?????  ????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
122321,f029af85b60c61676d47a4a8403b1512,23151113,????????? ???????????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
122322,f029af85b60c61676d47a4a8403b1512,23152296,????????? ???????? ????? ?? ??? ????????,1396,2,1,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
122323,f029af85b60c61676d47a4a8403b1512,23105057,?????????????  ??????,1396,2,3,COM-HARD,1392,52,21,1/21/2018,1396/11/01,2-May
122324,f029af85b60c61676d47a4a8403b1512,23152058,????????? ???????,1396,2,3,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
122325,f029af85b60c61676d47a4a8403b1512,23151146,??????? ??????????,1396,3,3,COM-HARD,1392,53,22,6/22/2018,1397/04/01,3-May
122326,f029af85b60c61676d47a4a8403b1512,23152058,????????? ???????,1396,3,3,COM-HARD,1392,53,31,6/22/2018,1397/04/01,3-May
122342,1a440df88fb47c35799dff6f988aeb26,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122343,1a440df88fb47c35799dff6f988aeb26,23151168,????? ??????????,1396,1,3,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122344,1a440df88fb47c35799dff6f988aeb26,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122345,1a440df88fb47c35799dff6f988aeb26,23152058,????????? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122346,1a440df88fb47c35799dff6f988aeb26,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
122350,1a440df88fb47c35799dff6f988aeb26,23151259,??? ?????? ?????? ??? ????,1396,2,3,COM-HARD,1392,52,41,1/21/2018,1396/11/01,2-May
122353,1a440df88fb47c35799dff6f988aeb26,23112096,????????? ?????  ????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
122372,bc4565f3e172a02009a5eaf23b11bbc9,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
122379,7b1e7ca3ab2fcb4c612428a1772d1295,402,????? - 2,1396,1,4,COM-HARD,1392,51,12,9/22/2016,1395/07/01,1-May
122381,7b1e7ca3ab2fcb4c612428a1772d1295,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122382,7b1e7ca3ab2fcb4c612428a1772d1295,23151259,??? ?????? ?????? ??? ????,1396,2,3,COM-HARD,1392,52,41,1/21/2018,1396/11/01,2-May
122877,28e080c51d108dc94a78d642f5802214,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
122878,28e080c51d108dc94a78d642f5802214,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122879,28e080c51d108dc94a78d642f5802214,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
122880,28e080c51d108dc94a78d642f5802214,23152150,????????? ????? ????,1396,1,1,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
122883,28e080c51d108dc94a78d642f5802214,402,????? - 2,1396,1,4,COM-HARD,1392,51,12,9/22/2016,1395/07/01,1-May
122960,38615252ca35e0d733419c787715ae4e,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
122964,38615252ca35e0d733419c787715ae4e,402,????? - 2,1396,1,4,COM-HARD,1392,51,12,9/22/2016,1395/07/01,1-May
123282,81e0a21c14a2206385035e6d2fdb7cf1,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123283,81e0a21c14a2206385035e6d2fdb7cf1,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123284,81e0a21c14a2206385035e6d2fdb7cf1,23152058,????????? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123287,81e0a21c14a2206385035e6d2fdb7cf1,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123360,ab5c18159b9edcf8d383d4a94c7cfd3c,23105057,?????????????  ??????,1396,1,3,COM-HARD,1392,51,21,9/22/2016,1395/07/01,1-May
123361,ab5c18159b9edcf8d383d4a94c7cfd3c,23151088,???? ????? ????? ???? ? ???,1396,1,2,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123362,ab5c18159b9edcf8d383d4a94c7cfd3c,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123363,ab5c18159b9edcf8d383d4a94c7cfd3c,23151168,????? ??????????,1396,1,3,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123364,ab5c18159b9edcf8d383d4a94c7cfd3c,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123366,ab5c18159b9edcf8d383d4a94c7cfd3c,23151248,??????????? ????? ??????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123368,ab5c18159b9edcf8d383d4a94c7cfd3c,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123371,ab5c18159b9edcf8d383d4a94c7cfd3c,23151259,??? ?????? ?????? ??? ????,1396,2,3,COM-HARD,1392,52,41,1/21/2018,1396/11/01,2-May
123374,ab5c18159b9edcf8d383d4a94c7cfd3c,23111106,????????? ?????????1,1396,2,1,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
123375,ab5c18159b9edcf8d383d4a94c7cfd3c,23105057,?????????????  ??????,1396,2,3,COM-HARD,1392,52,21,1/21/2018,1396/11/01,2-May
123378,6ecc3ac360f7e08f8aef78dabb6b3fe9,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123381,6ecc3ac360f7e08f8aef78dabb6b3fe9,402,????? - 2,1396,1,4,COM-HARD,1392,51,12,9/22/2016,1395/07/01,1-May
123383,6ecc3ac360f7e08f8aef78dabb6b3fe9,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123385,6ecc3ac360f7e08f8aef78dabb6b3fe9,402,????? - 2,1396,2,3,COM-HARD,1392,52,12,1/21/2018,1396/11/01,2-May
123403,d7d573fff8d3c6f6835cc7790611cbe9,23151157,???? ??? ?????????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
123404,d7d573fff8d3c6f6835cc7790611cbe9,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123408,d7d573fff8d3c6f6835cc7790611cbe9,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
123409,d7d573fff8d3c6f6835cc7790611cbe9,23152025,?????  ?????  ???,1396,2,3,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
123410,d7d573fff8d3c6f6835cc7790611cbe9,23112096,????????? ?????  ????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
123412,9519312ed619a87ea523a3477caca776,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123413,9519312ed619a87ea523a3477caca776,23152058,????????? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123417,9519312ed619a87ea523a3477caca776,23112096,????????? ?????  ????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
123418,abbb109e1b1232f0a6b18ac72c2cfc3c,23152014,??????  ???? ??,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
123424,abbb109e1b1232f0a6b18ac72c2cfc3c,23112096,????????? ?????  ????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
123425,abbb109e1b1232f0a6b18ac72c2cfc3c,402,????? - 2,1396,2,4,COM-HARD,1392,52,12,1/21/2018,1396/11/01,2-May
123642,73a3ee21d13c01dcbf7857a6df349578,23151157,???? ??? ?????????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
123643,73a3ee21d13c01dcbf7857a6df349578,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
123645,73a3ee21d13c01dcbf7857a6df349578,402,????? - 2,1396,1,4,COM-HARD,1392,51,12,9/22/2016,1395/07/01,1-May
123646,73a3ee21d13c01dcbf7857a6df349578,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
123648,73a3ee21d13c01dcbf7857a6df349578,23151282,????? ??? ????,1396,2,3,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
123649,73a3ee21d13c01dcbf7857a6df349578,23152150,????????? ????? ????,1396,2,1,COM-HARD,1392,52,41,1/21/2018,1396/11/01,2-May
124220,33542ba1aeef45b9b19942b123677972,23151168,????? ??????????,1396,1,3,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
124221,33542ba1aeef45b9b19942b123677972,23151237,????? ????????? ????? ??? ????????,1396,1,3,COM-HARD,1392,51,22,9/22/2016,1395/07/01,1-May
124225,33542ba1aeef45b9b19942b123677972,23151113,????????? ???????????,1396,1,1,COM-HARD,1392,51,32,9/22/2016,1395/07/01,1-May
124226,33542ba1aeef45b9b19942b123677972,23152296,????????? ???????? ????? ?? ??? ????????,1396,1,1,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
124228,33542ba1aeef45b9b19942b123677972,23151259,??? ?????? ?????? ??? ????,1396,1,3,COM-HARD,1392,51,41,9/22/2016,1395/07/01,1-May
124651,757f25a1da1bef3d394b69138e76034b,23151180,????? ?????? ? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
124652,757f25a1da1bef3d394b69138e76034b,23151237,????? ????????? ????? ??? ????????,1396,1,3,COM-HARD,1392,51,22,9/22/2016,1395/07/01,1-May
124653,757f25a1da1bef3d394b69138e76034b,23152058,????????? ???????,1396,1,3,COM-HARD,1392,51,31,9/22/2016,1395/07/01,1-May
124654,757f25a1da1bef3d394b69138e76034b,23152116,???????? ? ???????,1396,1,3,COM-HARD,1392,51,22,9/22/2016,1395/07/01,1-May
124655,757f25a1da1bef3d394b69138e76034b,23152138,????????? ???? ???  ?????????,1396,1,1,COM-HARD,1392,51,42,9/22/2016,1395/07/01,1-May
124657,757f25a1da1bef3d394b69138e76034b,23111037,????????? ?????? ???? ????? - 1,1396,1,1,COM-HARD,1392,51,22,9/22/2016,1395/07/01,1-May
124660,757f25a1da1bef3d394b69138e76034b,23151180,????? ?????? ? ???????,1396,2,3,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
124661,757f25a1da1bef3d394b69138e76034b,23151237,????? ????????? ????? ??? ????????,1396,2,3,COM-HARD,1392,52,22,1/21/2018,1396/11/01,2-May
124662,757f25a1da1bef3d394b69138e76034b,23151260,??? ????? ? ?????,1396,2,2,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
124665,757f25a1da1bef3d394b69138e76034b,23151113,????????? ???????????,1396,2,1,COM-HARD,1392,52,32,1/21/2018,1396/11/01,2-May
124666,757f25a1da1bef3d394b69138e76034b,23152296,????????? ???????? ????? ?? ??? ????????,1396,2,1,COM-HARD,1392,52,31,1/21/2018,1396/11/01,2-May
124668,757f25a1da1bef3d394b69138e76034b,23151088,???? ????? ????? ???? ? ???,1397,1,2,COM-HARD,1392,61,32,9/23/2018,1397/07/01,1-Jun
124669,757f25a1da1bef3d394b69138e76034b,23152014,??????  ???? ??,1397,1,3,COM-HARD,1392,61,31,9/23/2018,1397/07/01,1-Jun
124671,757f25a1da1bef3d394b69138e76034b,23111106,????????? ?????????1,1397,1,1,COM-HARD,1392,61,31,9/23/2018,1397/07/01,1-Jun
124673,757f25a1da1bef3d394b69138e76034b,23151168,????? ??????????,1397,2,3,COM-HARD,1392,62,32,1/21/2019,1397/11/01,2-Jun
124674,757f25a1da1bef3d394b69138e76034b,23151259,??? ?????? ?????? ??? ????,1397,2,3,COM-HARD,1392,62,41,1/21/2019,1397/11/01,2-Jun
124676,757f25a1da1bef3d394b69138e76034b,23152058,????????? ???????,1397,2,3,COM-HARD,1392,62,31,1/21/2019,1397/11/01,2-Jun
124679,757f25a1da1bef3d394b69138e76034b,23112096,????????? ?????  ????,1397,2,1,COM-HARD,1392,62,32,1/21/2019,1397/11/01,2-Jun
124680,757f25a1da1bef3d394b69138e76034b,23151168,????? ??????????,1398,1,3,COM-HARD,1392,71,32,9/23/2019,1398/07/01,1-Jul
124681,757f25a1da1bef3d394b69138e76034b,23151259,??? ?????? ?????? ??? ????,1398,1,3,COM-HARD,1392,71,41,9/23/2019,1398/07/01,1-Jul
